EudraCT Number,Sponsor Protocol Number,Sponsor Name,Full Title,Start Date,Medical condition,Disease,Population Age,Gender,Trial protocol,Link
2008-006649-18,08/0214,University College London,"CMV TCR Gene Therapy: A Phase I Safety, Toxicity and Feasibility Study of Adoptive Immunotherapy with CMV TCR-transduced Donor-derived T cells for Recipients of Allogeneic Haematopoietic Stem Cell ...",2011-11-16,"CMV reactivation/infection in post allogeneic haematopoietic stem cell transplant recipients. Allo-HSCT being performed for underlying haematological malignancy (eg, AML, ALL, NHL, Hodgkin Lymphoma...","Version: 19.0, SOC Term: 100000004865, Classification Code: 10067859, Term: Allogenic stem cell transplantation, Level: LLT",Adults,"Male, Female",GB(Prematurely Ended),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-006649-18
2006-000653-22,GART1013,Moorfields Eye Hospital,The UK Glaucoma Treatment Study,2006-07-26,Primary open-angle Glaucoma Pseudoexfoliation Glaucoma,"Version: 20.0, SOC Term: 100000004853, Classification Code: 10037118, Term: Pseudoexfoliation glaucoma, Level: LLT","Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2006-000653-22
2010-023062-40,PRP-001,"Medivation, Inc.","A Phase 1/2, First in Human, Single-arm, Open-label Study of Once a Day, Orally Administered Talazoparib (BMN 673) in Patients with Advanced or Recurrent Solid Tumors",2011-04-19,Advanced or recurrent solid tumors for which there is no accepted standard treatment or for which standard treatment has failed.  Patients may also be eligible if they are unable or decline to unde...,"Version: 19.0, SOC Term: 100000004864, Classification Code: 10065147, Term: Malignant solid tumor, Level: LLT","Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2010-023062-40
2011-005066-38,CINC424AGB02,Novartis Pharmaceuticals UK Ltd,"A UK open-label, multicentre, exploratory Phase II study of INC424 for patients with primary myelofibrosis (PMF) or post polycythemia myelofibrosis (PPV MF) or post-essential thrombocythemia myelof...",2012-03-09,"primary myelofibrosis (PMF), post polycythemia vera myelofibrosis (PPV MF) or Post essential thrombocythemia myelofibrosis (PET-MF)",,"Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2011-005066-38
2012-002786-35,12/0246,University College London,A randomised double-blind controlled phase III study to compare the efficacy and safety of intravenous ferric carboxymaltose with placebo in patients with anaemia undergoing major open abdominal su...,2012-11-05,Anaemia,"Version: 19.0, SOC Term: 10005329 - Blood and lymphatic system disorders, Classification Code: 10022972, Term: Iron deficiency anaemia, Level: PT","Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2012-002786-35
2012-005629-65,RG_12-269,University of Birmingham,Management of Transformed Chronic myeloid leukaemia: Ponatinib and Intensive chemotherapy: a dose finding study,2014-01-15,Chronic Myeloid Leukaemia (CML) in Blast Phase,"Version: 20.1, SOC Term: 10029104 - Neoplasms benign, malignant and unspecified (incl cysts and polyps), Classification Code: 10009013, Term: Chronic myeloid leukaemia, Level: PT","Adolescents, Under 18, Adults","Male, Female",GB(GB - no longer in EU/EEA),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2012-005629-65
2011-005279-18,RG_11-164,University of Birmingham,A RandoMised study of best Available therapy versus JAK Inhibition in patients with high risk Polycythaemia Vera or Essential Thrombocythaemia who are resistant or intolerant to HydroxyCarbamide.,2012-02-08,Polycythaemia vera,,,,,
2013-003785-14,200249,Novartis Pharma Services AG,A Phase I/II Study to Assess the Safety and Efficacy of Pazopanib and MK-3475 in Subjects with Advanced Renal Cell Carcinoma,2014-03-03,Renal Cell Carcinoma,"Version: 20.0, SOC Term: 10029104 - Neoplasms benign, malignant and unspecified (incl cysts and polyps), Classification Code: 10050513, Term: Metastatic renal cell carcinoma, Level: PT",Adults,"Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2013-003785-14
2013-002505-62,STH16404,Sheffield Teaching Hospitals NHS Foundation Trust,SarCaBon: A randomised phase II trial of Saracatinib versus placebo for cancer-induced bone pain,2013-11-14,Cancer-induced bone pain,"Version: 19.0, SOC Term: 100000004864, Classification Code: 10049038, Term: Metastatic bone pain, Level: LLT","Adolescents, Under 18, Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2013-002505-62
2013-003488-71,OVG-2013/04,University of Oxford,A pilot study of the impact of BCG administration on the immunogenicity of serogroup C meningococcal conjugate vaccine in healthy infants,2013-12-12,Vaccine responses,,"Newborns, Infants and toddlers, Under 18","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2013-003488-71
2011-003025-10,VIVID,King's College London,Effect of active vitamin-D treatment on left ventricular hypertrophy in patients with type-2 diabetes and stage-3 chronic kidney disease.,2011-11-08,"Left ventricular hypertrophy, type 2 diabetes, chronic kidney disease.","Version: 20.0, SOC Term: 100000004861, Classification Code: 10012612, Term: Diabetes mellitus non insulin-dep, Level: LLT","Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2011-003025-10
2010-020841-29,ADAPT,King`s College London,The role of anti-IgE (omalizumab) in the management of severe recalcitrant paediatric atopic eczema,2011-07-07,Severe eczema in children,"Version: 19.0, SOC Term: 100000004858, Classification Code: 10014189, Term: Eczema allergic atopic, Level: LLT","Children, Adolescents, Under 18, Adults","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2010-020841-29
2011-000919-22,OMB114578,University of Liverpool,RIAltO: A Randomised Investigation of Alternative Ofatumumab-containing regimens in less fit patients with CLL,2011-09-14,Chronic Lymphocytic Leukaemia,"Version: 21.1, SOC Term: 100000004864, Classification Code: 10008993, Term: Chronic lymphoid leukaemia, Level: LLT","Adults, Elderly","Male, Female",GB(GB - no longer in EU/EEA),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2011-000919-22
2011-003254-90,CLFG316A2204,Novartis Pharma Services AG,"A randomised, active-controlled, open-label, multiple-dose, proof-of-concept study of intravitreal LFG316 in patients with active non-infectious intermediate-, posterior-, or panuveitis requiring s...",2012-05-14,"Active non-infectious intermediate-, posterior-, or panuveitis requiring systemic immunosuppressive therapy","Version: 20.0, SOC Term:  100000014975, Classification Code: 10066681, Term: Acute uveitis, Level: LLT","Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2011-003254-90
