EudraCT Number,Sponsor Protocol Number,Sponsor Name,Full Title,Start Date,Medical condition,Disease,Population Age,Gender,Trial protocol,Link
2008-006649-18,08/0214,University College London,"CMV TCR Gene Therapy: A Phase I Safety, Toxicity and Feasibility Study of Adoptive Immunotherapy with CMV TCR-transduced Donor-derived T cells for Recipients of Allogeneic Haematopoietic Stem Cell ...",2011-11-16,"CMV reactivation/infection in post allogeneic haematopoietic stem cell transplant recipients. Allo-HSCT being performed for underlying haematological malignancy (eg, AML, ALL, NHL, Hodgkin Lymphoma...","Version: 19.0, SOC Term: 100000004865, Classification Code: 10067859, Term: Allogenic stem cell transplantation, Level: LLT",Adults,"Male, Female",GB(Prematurely Ended),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-006649-18
2008-004874-42,TRAFO001,Institut für Frauengesundheit GmbH,"Evaluation of predictive Factors for the Effectivity of Aromatase Inhibitor Therapy -  Offene, prospektive, multizentrische Phase IV-Studie zur Untersuchung des Einflusses von pharmakogenetischen M...",2009-02-06,"The study examines the influence of pharmacogenetic markers on the efficacy and side effects in postmenopausal, steroid hormone positive breast cancer patients, who are treated with Letrozol. The p...","Version: 20.0, SOC Term: 10029104 - Neoplasms benign, malignant and unspecified (incl cysts and polyps), Classification Code: 10006187, Term: Breast cancer, Level: PT","Adults, Elderly",Female,DE(Ongoing),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-004874-42
2008-002768-32,MM03,Freistaat Bayern,"A prospective phase I/II, one-arm, one-stage multi-center, open label study of lenalidomide in combination with pioglitazone, dexamethasone and metronomic low-dose chemotherapy with treosulfan in p...",2009-06-08,Multiple myeloma,"Version: 21.0, SOC Term: 100000004864, Classification Code: 10028228, Term: Multiple myeloma, Level: LLT","Adults, Elderly","Male, Female",DE(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-002768-32
2010-022400-53,NLH-01,Køge Hospital,Intracoronary administration of melatonin for patients with acute myocardial infarction: a placebo controlled randomized study.,2011-01-13,Acute Myocardial Infarction,"Version: 18.1, SOC Term: 10007541 - Cardiac disorders, Classification Code: 10000891, Term: Acute myocardial infarction, Level: PT","Adults, Elderly","Male, Female",DK(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2010-022400-53
2008-003174-18,PACET-CUP,Universitätsklinikum Heidelberg,"Open-labeled, randomized multi-center phase II study evaluating the efficacy and safety of Paclitaxel/ Carboplatin with and without Cetuximab as first-line treatment of adeno- and undifferentiated ...",2009-12-18,adeno- and undifferentiated Carcinoma of Unknown Primary (CUP),,"Adults, Elderly","Male, Female",DE(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-003174-18
2006-001095-21,A5I16,Sanofi Pasteur Inc.,"Immunogenicity and Safety of PEDIACEL®, a Combined Diphtheria, Tetanus, Five Component Acellular Pertussis, Inactivated Poliomyelitis and Haemophilus influenzae Type b Conjugate Vaccine (Adsorbed),...",2016-04-19,"Pertussis, adsorbed diphtheria and tetanus toxoids, inactivated poliomyelitis and polysaccharide of H. influenza type b bound to tetanus toxoid",,"Infants and toddlers, Under 18","Male, Female",Outside EU/EEA,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2006-001095-21
2006-000653-22,GART1013,Moorfields Eye Hospital,The UK Glaucoma Treatment Study,2006-07-26,Primary open-angle Glaucoma Pseudoexfoliation Glaucoma,"Version: 20.0, SOC Term: 100000004853, Classification Code: 10037118, Term: Pseudoexfoliation glaucoma, Level: LLT","Adults, Elderly","Male, Female",GB(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2006-000653-22
2008-000581-23,CSPP100A2244,Novartis Pharma AG,"A randomized, double-masked, placebo-controlled add on study to assess the efficacy of oral aliskiren 300 mg once daily for diabetic macular edema",2008-07-28,Diabetic Macular Edema (DME) in hypertensive patients,"Version: 19.0, SOC Term: 100000004853, Classification Code: 10057915, Term: Diabetic macular oedema, Level: LLT","Adults, Elderly","Male, Female",DK(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-000581-23
2007-001058-16,V00147GL202,PIERRE FABRE MEDICAMENT,A PHASE II DOUBLE-BLIND VEHICLE-CONTROLLED CROSSOVER SINGLE DOSE (400 µG) V0147 GEL EFFECT AND TOLERANCE STUDY IN SPINAL CORD INJURED PATIENTS WITH ERECTILE DYSFUNCTION,2007-04-30,Erectile dysfunction,"Version: 21.1, SOC Term: 10038604 - Reproductive system and breast disorders, Classification Code: 10052004, Term: Organic erectile dysfunction, Level: PT",Adults,Male,FR(Prematurely Ended),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2007-001058-16
2008-007225-39,CareRA,University Hospitals Leuven,A 2 year prospective multicentre randomised controlled trial comparing effectiveness in daily practice of different treatment strategies for early RA,2009-01-06,"early active Rheumatoid Arthritis, previously untreated with DMARDS","Version: 20.0, SOC Term: 10028395 - Musculoskeletal and connective tissue disorders, Classification Code: 10039073, Term: Rheumatoid arthritis, Level: PT","Adults, Elderly","Male, Female",BE(Completed),https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2008-007225-39
